date,product_id,product_name,quantity_sold,unit_price,revenue
2026-08-19,P01,Espresso,28,2.8,78.4
2026-08-19,P02,Americano,15,3.2,48.0
2026-08-19,P03,Cappuccino,28,4.2,117.6
2026-08-19,P04,Latte,43,4.5,193.5
2026-08-19,P05,Mocha,14,4.8,67.2
2026-08-19,P06,Cold Brew,15,4.5,67.5
2026-08-19,P07,Hot Chocolate,5,3.9,19.5
2026-08-19,P08,Iced Tea,9,3.2,28.8
2026-08-19,P09,Orange Juice,11,3.8,41.8
2026-08-19,P10,Bottled Water,3,2.0,6.0
2026-08-19,P11,Croissant,23,3.5,80.5
2026-08-19,P12,Blueberry Muffin,17,3.75,63.75
2026-08-19,P13,Chocolate Chip Cookie,29,2.5,72.5
2026-08-19,P14,Bagel with Cream Cheese,12,4.0,48.0
2026-08-19,P15,Avocado Toast,3,7.5,22.5
2026-08-20,P01,Espresso,18,2.8,50.4
2026-08-20,P02,Americano,15,3.2,48.0
2026-08-20,P03,Cappuccino,31,4.2,130.2
2026-08-20,P04,Latte,35,4.5,157.5
2026-08-20,P05,Mocha,18,4.8,86.4
2026-08-20,P06,Cold Brew,12,4.5,54.0
2026-08-20,P07,Hot Chocolate,8,3.9,31.2
2026-08-20,P08,Iced Tea,9,3.2,28.8
2026-08-20,P09,Orange Juice,11,3.8,41.8
2026-08-20,P10,Bottled Water,7,2.0,14.0
2026-08-20,P11,Croissant,21,3.5,73.5
2026-08-20,P12,Blueberry Muffin,19,3.75,71.25
2026-08-20,P13,Chocolate Chip Cookie,27,2.5,67.5
2026-08-20,P14,Bagel with Cream Cheese,13,4.0,52.0
2026-08-20,P15,Avocado Toast,5,7.5,37.5
2026-08-21,P01,Espresso,18,2.8,50.4
2026-08-21,P02,Americano,16,3.2,51.2
2026-08-21,P03,Cappuccino,39,4.2,163.8
2026-08-21,P04,Latte,38,4.5,171.0
2026-08-21,P05,Mocha,15,4.8,72.0
2026-08-21,P06,Cold Brew,16,4.5,72.0
2026-08-21,P07,Hot Chocolate,5,3.9,19.5
2026-08-21,P08,Iced Tea,9,3.2,28.8
2026-08-21,P09,Orange Juice,8,3.8,30.4
2026-08-21,P10,Bottled Water,3,2.0,6.0
2026-08-21,P11,Croissant,16,3.5,56.0
2026-08-21,P12,Blueberry Muffin,22,3.75,82.5
2026-08-21,P13,Chocolate Chip Cookie,21,2.5,52.5
2026-08-21,P14,Bagel with Cream Cheese,11,4.0,44.0
2026-08-21,P15,Avocado Toast,5,7.5,37.5
